State,State_Code,District,Tier
Uttar Pradesh,UP,Kanpur Nagar, Tier-2 
Uttar Pradesh,UP,Kasganj, Tier-3 
Uttar Pradesh,UP,Kaushambi, Tier-3 
Uttar Pradesh,UP,Lakhimpur Kheri, Tier-3 
Uttar Pradesh,UP,Lucknow, Tier-2 
Uttar Pradesh,UP,Maharajganj, Tier-3 
Uttar Pradesh,UP,Mainpuri, Tier-3 
Uttar Pradesh,UP,Mathura, Tier-2 
Uttar Pradesh,UP,Mau, Tier-3 
Uttar Pradesh,UP,Meerut, Tier-2 
Uttar Pradesh,UP,Mirzapur, Tier-3 
Uttar Pradesh,UP,Moradabad, Tier-2 
Uttar Pradesh,UP,Muzaffarnagar, Tier-3 
Uttar Pradesh,UP,Pilibhit, Tier-3 
Uttar Pradesh,UP,Pratapgarh, Tier-3 
Uttar Pradesh,UP,Prayagraj, Tier-3 
Uttar Pradesh,UP,Rae Bareli, Tier-3 
Uttar Pradesh,UP,Rampur, Tier-3 
Uttar Pradesh,UP,Saharanpur, Tier-3 
Uttar Pradesh,UP,Sambhal, Tier-3 
Uttar Pradesh,UP,Sant Kabir Nagar, Tier-3 
Uttar Pradesh,UP,Shahjahanpur, Tier-3 
Uttar Pradesh,UP,Shamli, Tier-3 
Uttar Pradesh,UP,Shrawasti, Tier-3 
Uttar Pradesh,UP,Sitapur, Tier-3 
Uttar Pradesh,UP,Sultanpur, Tier-3 
Uttar Pradesh,UP,Unnao, Tier-3 
Uttar Pradesh,UP,Varanasi, Tier-2 
Uttarakhand,UT,Almora, Tier-3 
Uttarakhand,UT,Dehradun, Tier-2 
Uttarakhand,UT,Haridwar, Tier-3 
Uttarakhand,UT,Nainital, Tier-3 
Uttarakhand,UT,Pauri Garhwal, Tier-3 
Uttarakhand,UT,Udham Singh Nagar, Tier-3 
West Bengal,WB,Darjeeling, Tier-2 
West Bengal,WB,Hooghly, Tier-3 
West Bengal,WB,Howrah, Tier-3 
West Bengal,WB,Jalpaiguri, Tier-3 
West Bengal,WB,Kalimpong, Tier-3 
West Bengal,WB,Kolkata, Tier-1 
West Bengal,WB,Murshidabad, Tier-3 
West Bengal,WB,Nadia, Tier-3 
West Bengal,WB,North 24 Parganas, Tier-3 
West Bengal,WB,Paschim Bardhaman, Tier-3 
West Bengal,WB,Purba Bardhaman, Tier-3 
West Bengal,WB,Purba Medinipur, Tier-3 
West Bengal,WB,South 24 Parganas, Tier-3 
West Bengal,WB,Unknown, Tier-3 
Bihar,BR,Darbhanga, Tier-3 
Bihar,BR,Madhubani, Tier-3 
Bihar,BR,Purnia, Tier-3 
Haryana,HR,Jhajjar, Tier-3 
Haryana,HR,Unknown, Tier-3 
Jharkhand,JH,Jamtara, Tier-3 
Jammu and Kashmir,JK,Reasi, Tier-3 
Maharashtra,MH,Bhandara, Tier-3 
Madhya Pradesh,MP,Harda, Tier-3 
Odisha,OR,Koraput, Tier-3 
Punjab,PB,Tarn Taran, Tier-3 
Uttar Pradesh,UP,Gorakhpur, Tier-2 
Uttar Pradesh,UP,Jhansi, Tier-2 
Assam,AS,Bongaigaon, Tier-3 
Bihar,BR,Araria, Tier-3 
Bihar,BR,Sheikhpura, Tier-3 
Bihar,BR,Sitamarhi, Tier-3 
Chhattisgarh,CT,Surajpur, Tier-3 
Madhya Pradesh,MP,Ashoknagar, Tier-3 
Madhya Pradesh,MP,Burhanpur, Tier-3 
Madhya Pradesh,MP,Rewa, Tier-3 
Madhya Pradesh,MP,Shahdol, Tier-3 
Bihar,BR,West Champaran, Tier-3 
Odisha,OR,Deogarh, Tier-3 
Odisha,OR,Jharsuguda, Tier-3 
Odisha,OR,Kendujhar, Tier-3 
Punjab,PB,Bathinda, Tier-3 
Rajasthan,RJ,Baran, Tier-3 
Uttar Pradesh,UP,Kanpur Dehat, Tier-3 
Bihar,BR,Katihar, Tier-3 
Jharkhand,JH,Godda, Tier-3 
Madhya Pradesh,MP,Anuppur, Tier-3 
Odisha,OR,Balangir, Tier-3 
Punjab,PB,Fazilka, Tier-3 
Uttar Pradesh,UP,Deoria, Tier-3 
Uttar Pradesh,UP,Siddharthnagar, Tier-3 
Madhya Pradesh,MP,Katni, Tier-3 
Odisha,OR,Ganjam, Tier-3 
Tripura,TR,Dhalai, Tier-3 
Uttar Pradesh,UP,Mahoba, Tier-3 
Bihar,BR,Sheohar, Tier-3 
Chhattisgarh,CT,Kabeerdham, Tier-3 
Gujarat,GJ,Devbhumi Dwarka, Tier-3 
Madhya Pradesh,MP,Niwari, Tier-3 
Madhya Pradesh,MP,Panna, Tier-3 
West Bengal,WB,Birbhum, Tier-3 
West Bengal,WB,Malda, Tier-3 
West Bengal,WB,Other State, Tier-3 
West Bengal,WB,Paschim Medinipur, Tier-3 
Bihar,BR,Samastipur, Tier-3 
Himachal Pradesh,HP,Mandi, Tier-3 
Karnataka,KA,Haveri, Tier-3 
Madhya Pradesh,MP,Satna, Tier-3 
Andhra Pradesh,AP,Other State, Tier-3 
Assam,AS,Kokrajhar, Tier-3 
Dadra and Nagar Haveli and Daman and Diu,DN,Dadra and Nagar Haveli, Tier-3 
Gujarat,GJ,Junagadh, Tier-3 
Jharkhand,JH,Dumka, Tier-3 
Tamil Nadu,TN,Krishnagiri, Tier-3 
Uttar Pradesh,UP,Amethi, Tier-3 
Uttar Pradesh,UP,Kushinagar, Tier-3 
Madhya Pradesh,MP,Neemuch, Tier-3 
Odisha,OR,Jagatsinghpur, Tier-3 
Odisha,OR,Mayurbhanj, Tier-3 
Rajasthan,RJ,BSF Camp, Tier-3 
Rajasthan,RJ,Jalore, Tier-3 
Uttar Pradesh,UP,Chitrakoot, Tier-3 
Andhra Pradesh,AP,Vizianagaram, Tier-3 
Bihar,BR,Kishanganj, Tier-3 
Gujarat,GJ,Other State, Tier-3 
Himachal Pradesh,HP,Shimla, Tier-2 
Haryana,HR,Mahendragarh, Tier-3 
Madhya Pradesh,MP,Jhabua, Tier-3 
Rajasthan,RJ,Sirohi, Tier-3 
Bihar,BR,Khagaria, Tier-3 
Bihar,BR,Saharsa, Tier-3 
Bihar,BR,Supaul, Tier-3 
Madhya Pradesh,MP,Guna, Tier-3 
Madhya Pradesh,MP,Sehore, Tier-3 
Uttar Pradesh,UP,Fatehpur, Tier-3 
Assam,AS,Jorhat, Tier-3 
Bihar,BR,Muzaffarpur, Tier-3 
Haryana,HR,Rewari, Tier-3 
Maharashtra,MH,Unknown, Tier-3 
Madhya Pradesh,MP,Bhind, Tier-3 
Odisha,OR,Angul, Tier-3 
Odisha,OR,Nayagarh, Tier-3 
Uttar Pradesh,UP,Farrukhabad, Tier-3 
Uttar Pradesh,UP,Hamirpur, Tier-2 
Uttar Pradesh,UP,Lalitpur, Tier-3 
Uttarakhand,UT,Uttarkashi, Tier-3 
Himachal Pradesh,HP,Bilaspur, Tier-2 
Karnataka,KA,Shivamogga, Tier-3 
Odisha,OR,Boudh, Tier-3 
Puducherry,PY,Karaikal, Tier-3 
Uttar Pradesh,UP,Sonbhadra, Tier-3 
West Bengal,WB,Jhargram, Tier-3 
West Bengal,WB,Uttar Dinajpur, Tier-3 
Maharashtra,MH,Wardha, Tier-3 
Madhya Pradesh,MP,Mandla, Tier-3 
Madhya Pradesh,MP,Seoni, Tier-3 
Uttar Pradesh,UP,Ambedkar Nagar, Tier-3 
Uttar Pradesh,UP,Ballia, Tier-3 
Bihar,BR,Jamui, Tier-3 
Jharkhand,JH,East Singhbhum, Tier-2 
Karnataka,KA,Hassan, Tier-3 
Karnataka,KA,Kolar, Tier-3 
Karnataka,KA,Yadgir, Tier-3 
Madhya Pradesh,MP,Sidhi, Tier-3 
Tamil Nadu,TN,Airport Quarantine, Tier-3 
Gujarat,GJ,Amreli, Tier-3 
Jharkhand,JH,Latehar, Tier-3 
Uttar Pradesh,UP,Chandauli, Tier-3 
Chhattisgarh,CT,Balod, Tier-3 
Chhattisgarh,CT,Janjgir Champa, Tier-3 
Chhattisgarh,CT,Koriya, Tier-3 
Madhya Pradesh,MP,Damoh, Tier-3 
Madhya Pradesh,MP,Datia, Tier-3 
Assam,AS,Sonitpur, Tier-3 
Manipur,MN,Churachandpur, Tier-3 
Madhya Pradesh,MP,Umaria, Tier-3 
Tamil Nadu,TN,Other State, Tier-3 
Tripura,TR,Khowai, Tier-3 
Assam,AS,Sivasagar, Tier-3 
Assam,AS,Unknown, Tier-3 
Chhattisgarh,CT,Baloda Bazar, Tier-3 
Chhattisgarh,CT,Gariaband, Tier-3 
Jharkhand,JH,Lohardaga, Tier-3 
Jharkhand,JH,Ramgarh, Tier-3 
Jammu and Kashmir,JK,Punch, Tier-3 
Odisha,OR,Gajapati, Tier-3 
Odisha,OR,Kandhamal, Tier-3 
Odisha,OR,Malkangiri, Tier-3 
Odisha,OR,Nuapada, Tier-3 
Odisha,OR,Rayagada, Tier-3 
Odisha,OR,Sambalpur, Tier-3 
Tamil Nadu,TN,Railway Quarantine, Tier-3 
West Bengal,WB,Dakshin Dinajpur, Tier-3 
Chhattisgarh,CT,Raigarh, Tier-3 
Chhattisgarh,CT,Surguja, Tier-3 
Jharkhand,JH,West Singhbhum, Tier-3 
Jammu and Kashmir,JK,Doda, Tier-3 
Karnataka,KA,Koppal, Tier-3 
Karnataka,KA,Raichur, Tier-3 
Andhra Pradesh,AP,Unknown, Tier-3 
Assam,AS,Biswanath, Tier-3 
Assam,AS,Hojai, Tier-3 
Assam,AS,Nagaon, Tier-3 
Chhattisgarh,CT,Balrampur, Tier-3 
Chhattisgarh,CT,Bametara, Tier-3 
Chhattisgarh,CT,Bastar, Tier-3 
Chhattisgarh,CT,Bijapur, Tier-2 
Chhattisgarh,CT,Dakshin Bastar Dantewada, Tier-3 
Chhattisgarh,CT,Dhamtari, Tier-3 
Chhattisgarh,CT,Jashpur, Tier-3 
Chhattisgarh,CT,Kondagaon, Tier-3 
Chhattisgarh,CT,Mahasamund, Tier-3 
Chhattisgarh,CT,Mungeli, Tier-3 
Chhattisgarh,CT,Narayanpur, Tier-3 
Chhattisgarh,CT,Sukma, Tier-3 
Chhattisgarh,CT,Uttar Bastar Kanker, Tier-3 
Jharkhand,JH,Gumla, Tier-3 
Jharkhand,JH,Saraikela-Kharsawan, Tier-3 
Karnataka,KA,Chikkamagaluru, Tier-3 
Maharashtra,MH,Gadchiroli, Tier-3 
Madhya Pradesh,MP,Rajgarh, Tier-3 
Madhya Pradesh,MP,Singrauli, Tier-3 
Nagaland,NL,Dimapur, Tier-3 
Nagaland,NL,Kohima, Tier-3 
Nagaland,NL,Mokokchung, Tier-3 
Nagaland,NL,Mon, Tier-3 
Nagaland,NL,Peren, Tier-3 
Nagaland,NL,Phek, Tier-3 
Nagaland,NL,Tuensang, Tier-3 
Nagaland,NL,Wokha, Tier-3 
Tripura,TR,Sipahijala, Tier-3 
Tripura,TR,South Tripura, Tier-3 
Tripura,TR,Unknown, Tier-3 
Tripura,TR,Unokoti, Tier-3 
Tripura,TR,West Tripura, Tier-3 
Uttarakhand,UT,Bageshwar, Tier-3 
Uttarakhand,UT,Chamoli, Tier-3 
Uttarakhand,UT,Champawat, Tier-3 
Uttarakhand,UT,Pithoragarh, Tier-3 
Uttarakhand,UT,Rudraprayag, Tier-3 
Uttarakhand,UT,Tehri Garhwal, Tier-3 
Bihar,BR,Unknown, Tier-3 
Chhattisgarh,CT,Unknown, Tier-3 
Himachal Pradesh,HP,Kullu, Tier-3 
Jharkhand,JH,Chatra, Tier-3 
Meghalaya,ML,West Garo Hills, Tier-3 
Madhya Pradesh,MP,Chhatarpur, Tier-3 
Rajasthan,RJ,Ganganagar, Tier-3 
Assam,AS,Darrang, Tier-3 
Assam,AS,Dibrugarh, Tier-3 
Assam,AS,Udalguri, Tier-3 
Assam,AS,West Karbi Anglong, Tier-3 
Chhattisgarh,CT,Gaurela Pendra Marwahi, Tier-3 
Madhya Pradesh,MP,Balaghat, Tier-3 
Assam,AS,Tinsukia, Tier-3 
Assam,AS,Barpeta, Tier-3 
Assam,AS,Chirang, Tier-3 
Assam,AS,Dima Hasao, Tier-3 
Manipur,MN,Unknown, Tier-3 
Odisha,OR,Nabarangapur, Tier-3 
Sikkim,SK,South Sikkim, Tier-3 
West Bengal,WB,Bankura, Tier-3 
Arunachal Pradesh,AR,Papum Pare, Tier-3 
Haryana,HR,Foreign Evacuees, Tier-3 
Madhya Pradesh,MP,Narsinghpur, Tier-3 
Uttarakhand,UT,Unknown, Tier-3 
Andhra Pradesh,AP,Foreign Evacuees, Tier-3 
Assam,AS,Dhemaji, Tier-3 
Goa,GA,Unknown, Tier-3 
Jharkhand,JH,Unknown, Tier-3 
Karnataka,KA,Ramanagara, Tier-3 
Meghalaya,ML,North Garo Hills, Tier-3 
Manipur,MN,Noney, Tier-3 
Odisha,OR,Bargarh, Tier-3 
Puducherry,PY,Unknown, Tier-3 
Assam,AS,Karbi Anglong, Tier-3 
Jharkhand,JH,Khunti, Tier-3 
Jharkhand,JH,Pakur, Tier-3 
Nagaland,NL,Kiphire, Tier-3 
Odisha,OR,Subarnapur, Tier-3 
Assam,AS,Charaideo, Tier-3 
Rajasthan,RJ,Bundi, Tier-3 
West Bengal,WB,Purulia, Tier-3 
Arunachal Pradesh,AR,Changlang, Tier-3 
Meghalaya,ML,South West Garo Hills, Tier-3 
Meghalaya,ML,West Khasi Hills, Tier-3 
Manipur,MN,Kamjong, Tier-3 
West Bengal,WB,Alipurduar, Tier-3 
Jharkhand,JH,Sahibganj, Tier-3 
West Bengal,WB,Cooch Behar, Tier-3 
Assam,AS,Baksa, Tier-3 
Manipur,MN,Chandel, Tier-3 
Manipur,MN,Thoubal, Tier-3 
Manipur,MN,Ukhrul, Tier-3 
Arunachal Pradesh,AR,Anjaw, Tier-3 
Arunachal Pradesh,AR,Capital Complex, Tier-3 
Arunachal Pradesh,AR,Dibang Valley, Tier-3 
Arunachal Pradesh,AR,East Kameng, Tier-3 
Arunachal Pradesh,AR,East Siang, Tier-3 
Arunachal Pradesh,AR,Kamle, Tier-3 
Arunachal Pradesh,AR,Kra-Daadi, Tier-3 
Arunachal Pradesh,AR,Kurung Kumey, Tier-3 
Arunachal Pradesh,AR,Lepa Rada, Tier-3 
Arunachal Pradesh,AR,Longding, Tier-3 
Arunachal Pradesh,AR,Lower Dibang Valley, Tier-3 
Arunachal Pradesh,AR,Lower Siang, Tier-3 
Arunachal Pradesh,AR,Lower Subansiri, Tier-3 
Arunachal Pradesh,AR,Namsai, Tier-3 
Arunachal Pradesh,AR,Pakke Kessang, Tier-3 
Arunachal Pradesh,AR,Shi Yomi, Tier-3 
Arunachal Pradesh,AR,Siang, Tier-3 
Arunachal Pradesh,AR,Tawang, Tier-3 
Arunachal Pradesh,AR,Tirap, Tier-3 
Arunachal Pradesh,AR,Unknown, Tier-3 
Arunachal Pradesh,AR,Upper Siang, Tier-3 
Arunachal Pradesh,AR,Upper Subansiri, Tier-3 
Arunachal Pradesh,AR,West Kameng, Tier-3 
Arunachal Pradesh,AR,West Siang, Tier-3 
Karnataka,KA,Chamarajanagara, Tier-3 
Manipur,MN,Bishnupur, Tier-3 
Manipur,MN,Senapati, Tier-3 
Himachal Pradesh,HP,Kinnaur, Tier-3 
Himachal Pradesh,HP,Unknown, Tier-3 
Meghalaya,ML,West Jaintia Hills, Tier-3 
Manipur,MN,Kakching, Tier-3 
Manipur,MN,Tamenglong, Tier-3 
Manipur,MN,Tengnoupal, Tier-3 
Nagaland,NL,Unknown, Tier-3 
Sikkim,SK,East Sikkim, Tier-3 
Manipur,MN,Kangpokpi, Tier-3 
Mizoram,MZ,Lunglei, Tier-3 
Mizoram,MZ,Mamit, Tier-3 
Mizoram,MZ,Saitual, Tier-3 
Assam,AS,Airport Quarantine, Tier-3 
Manipur,MN,Pherzawl, Tier-3 
Sikkim,SK,West Sikkim, Tier-3 
Assam,AS,Majuli, Tier-3 
Mizoram,MZ,Lawngtlai, Tier-3 
Chhattisgarh,CT,Other State, Tier-3 
Mizoram,MZ,Champhai, Tier-3 
Mizoram,MZ,Khawzawl, Tier-3 
Mizoram,MZ,Saiha, Tier-3 
Nagaland,NL,Zunheboto, Tier-3 
Dadra and Nagar Haveli and Daman and Diu,DN,Daman, Tier-3 
Meghalaya,ML,Ribhoi, Tier-3 
Meghalaya,ML,Unknown, Tier-3 
Mizoram,MZ,Kolasib, Tier-3 
Odisha,OR,Others, Tier-3 
Sikkim,SK,Unknown, Tier-3 
Goa,GA,Other State, Tier-3 
Mizoram,MZ,Serchhip, Tier-3 
Dadra and Nagar Haveli and Daman and Diu,DN,Diu, Tier-3 
Nagaland,NL,Others, Tier-3 
Manipur,MN,Jiribam, Tier-3 
Puducherry,PY,Yanam, Tier-3 
Nagaland,NL,Longleng, Tier-3 
Sikkim,SK,North Sikkim, Tier-3 
Himachal Pradesh,HP,Lahaul and Spiti, Tier-3 
Meghalaya,ML,East Jaintia Hills, Tier-3 
Madhya Pradesh,MP,Unknown, Tier-3 
Bihar,BR,Other State, Tier-3 
Mizoram,MZ,Unknown, Tier-3 
Meghalaya,ML,East Garo Hills, Tier-3 
Meghalaya,ML,South Garo Hills, Tier-3 
Manipur,MN,Other State, Tier-3 
